DATE,Sample ID,Result Parameter Name,Result Value,Result Value Units,Sample Matrix,Measured,Result (ug/L),No_Detect
2023-08-08 00:00:00,HPS-1,Arsenic,23.2,mg/kg,Soil,,,0
2023-08-08 00:00:00,TPS-1,Arsenic,6.5,mg/kg,Soil,,,0
2023-08-08 00:00:00,GPS-1,Arsenic,83.6,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Barium,148.0,mg/kg,Soil,,,0
2023-08-08 00:00:00,TPS-1,Barium,27.3,mg/kg,Soil,,,0
2023-08-08 00:00:00,GPS-1,Barium,62.9,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Cadmium,2.3,mg/kg,Soil,,,0
2023-08-08 00:00:00,TPS-1,Cadmium,0.13,mg/kg,Soil,,,0
2023-08-08 00:00:00,GPS-1,Cadmium,0.4,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Chromium,63.5,mg/kg,Soil,,,0
2023-08-08 00:00:00,TPS-1,Chromium,18.1,mg/kg,Soil,,,0
2023-08-08 00:00:00,GPS-1,Chromium,18.4,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Lead,182.0,mg/kg,Soil,,,0
2023-08-08 00:00:00,TPS-1,Lead,16.6,mg/kg,Soil,,,0
2023-08-08 00:00:00,GPS-1,Lead,81.9,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Selenium,2.5,mg/kg,Soil,,,0
2023-08-08 00:00:00,TPS-1,Selenium,1.3,mg/kg,Soil,,,0
2023-08-08 00:00:00,GPS-1,Selenium,1.1,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Silver,1.4,mg/kg,Soil,,,0
2023-08-08 00:00:00,TPS-1,Silver,0.12,mg/kg,Soil,,,0
2023-08-08 00:00:00,GPS-1,Silver,0.13,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Mercury,0.62,mg/kg,Soil,,,0
2023-08-08 00:00:00,TPS-1,Mercury,0.038,mg/kg,Soil,,,0
2023-08-08 00:00:00,GPS-1,Mercury,0.013,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Arsenic,9.1,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Arsenic,3.4,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Arsenic,3.3,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Arsenic,8.4,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Barium,84.1,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Barium,67.5,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Barium,50.8,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Barium,110.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Cadmium,0.18,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Cadmium,0.26,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Cadmium,0.13,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Cadmium,0.37,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Chromium,8.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Chromium,36.3,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Chromium,27.7,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Chromium,37.6,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Lead,229.0,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Lead,56.7,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Lead,8.3,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Lead,14.8,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Selenium,2.0,mg/kg,Soil,,,0
